FFAR2	71.6195829815776
IL1B	49.5901141159558
FFAR3	45.4152453129116
AC098476.1	32.7839767543213
SCG2	31.0032655158437
CXCL5	27.2954787256168
CSF2RB	26.7035205854451
SOCS3	23.1933963951906
ZNF385D	22.5928796423019
TNFRSF4	21.981138706759
SLC9A3	21.9492425323354
CENPU	21.9269217391961
SLC26A4	21.6653281133612
MRAP2	21.542572990341
HLX	21.305243108299
SLC6A20	21.0917440917149
TNFRSF10C	20.9446284164474
MTND1P23	20.8053283565458
MYBL1	19.4092407871733
RPN1	19.1354586404236
STEAP4	18.9368911421977
STOM	18.741668727773
DOLK	18.2048070350071
SAA2	17.9872811727011
MED24	17.730705926105
CXCR1	17.6882736889899
SLC26A4-AS1	17.0540035326074
PICART1	17.0262298334455
GDA	16.9351900661975
IL17REL	16.8740635637132
CGNL1	16.7356840091857
GRIK1-AS1	16.1455032079622
SCGB3A1	16.0300042144408
SAA1	15.7994335002471
MEFV	15.731407729973
PTGER4	15.6811477053806
NCF1	15.519115850893
